nom,couleur,prix,collection,categorie,couleur_generique,matiere_principale,type_matiere_principal
sandales techniques,noir,,fille,sandales,noir/gris,polyester,fibre synthétique
t-shirt imprimé penn ©,vert,,fille,t-shirt,vert,coton,fibre naturelle végétale
haut côtelé nageur,bleu roi,,fille,haut,bleu,coton,fibre naturelle végétale
bermuda 100% lin,rose,,fille,bermuda,rose/violet,lin,fibre naturelle végétale
sac à dos technique,multicolore,,fille,sac,motif/multicolore,polyamide,fibre synthétique
gilet en nylon penn ©,bleu marine,,fille,gilet,bleu,polyamide,fibre synthétique
gilet en maille penn ©,écru,,fille,gilet,blanc/beige,coton,fibre naturelle végétale
pantalon à plis penn ©,pierre,,fille,pantalon,autres,coton,fibre naturelle végétale
sweat zippé basique,écru,,fille,sweat,blanc/beige,coton,fibre naturelle végétale
sweat à inscription penn ©,vert,,fille,sweat,vert,coton,fibre naturelle végétale
gilet en maille penn ©,vert / écru,,fille,gilet,blanc/beige,coton,fibre naturelle végétale
tennis ou basket avec détail cœur,blanc,,fille,tennis,blanc/beige,polyuréthane,fibre synthétique
lot de cinq socquettes,multicolore,,fille,lot,motif/multicolore,coton,fibre naturelle végétale
lunettes de soleil carrées en plastique,bleu,,fille,lunettes,bleu,pctg,autres
casquette en résille broderie florale,jaune,,fille,casquette,jaune/orange,coton,fibre naturelle végétale
tennis penn ©,blanc,,fille,tennis,blanc/beige,polyuréthane,fibre synthétique
tennis à rabat et pièces,blanc,,fille,tennis,blanc/beige,polyuréthane,fibre synthétique
t-shirt à inscription imprimée,jaune,,fille,t-shirt,jaune/orange,coton,fibre naturelle végétale
bermuda de jogging en molleton,sable / chiné,,fille,bermuda,autres,coton,fibre naturelle végétale
lot bandeau et bracelet penn ©,bleu roi,,fille,lot,bleu,coton,fibre naturelle végétale
ensemble côtelé délavé t-shirt nageur et bermuda,pourpre,,fille,ensemble,autres,coton,fibre naturelle végétale
short à inscription et contraste,blanc,,fille,short,blanc/beige,coton,fibre naturelle végétale
short en popeline à pinces penn ©,beige clair,,fille,short,blanc/beige,coton,fibre naturelle végétale
bermuda en jean longue penn ©,bleu clair,,fille,bermuda,bleu,coton,fibre naturelle végétale
casquette résille minecraft © mojang ab. ™,vert,,garçon,casquette,vert,coton,fibre naturelle végétale
6-14 ans / short de bain uni,citron vert,,garçon,6-14,vert,polyamide,fibre synthétique
t-shirt sport à inscription,mandarine,,garçon,t-shirt,autres,polyester,fibre synthétique
pantalon en molleton wide leg penn ©,vert / écru,,garçon,pantalon,blanc/beige,coton,fibre naturelle végétale
short à rayures penn ©,bleu clair,,garçon,short,bleu,coton,fibre naturelle végétale
sweat imprimé,écru,,garçon,sweat,blanc/beige,coton,fibre naturelle végétale
