url,etat,matiere,couleur,categorie,likes,prix,prix_total,collection
https://www.vinted.fr/items/8889312463-veste-sans-manches-zara-brodee-bleu-ecru-style-boheme-folk-coton-tm?referrer=catalog,Très bon état,Coton,"Bleu, Crème",Manteaux et vestes,41,"24,00 €","25,90 €",garcon
https://www.vinted.fr/items/8893253158-cinto-senhora?referrer=catalog,Neuf avec étiquette,Polyester,Marron,Accessoires,24,"5,00 €","5,70 €",garcon
https://www.vinted.fr/items/8858589568-robe-inspiration-zimmermann?referrer=catalog,Neuf avec étiquette,,"Lila, Bleu clair",Robes,156,"60,00 €","63,70 €",garcon
https://www.vinted.fr/items/8824765079-magliette-zara-a-coste-arancioni-e-dettagli-voilant?referrer=catalog,Très bon état,,Orange,Hauts et t-shirts,8,"8,50 €","9,63 €",garcon
https://www.vinted.fr/items/8903950368-mocassins-cuir?referrer=catalog,Neuf sans étiquette,,Marron,Chaussures,51,"15,00 €","16,38 €",garcon
https://www.vinted.fr/items/8886985184-kanten-avond-jurk-van-zara?referrer=catalog,Neuf avec étiquette,Polyester,Crème,Lingerie et pyjamas,30,"15,00 €","16,45 €",garcon
https://www.vinted.fr/items/8902971894-robe-ou-tunique-zara-taille-xl-neuve?referrer=catalog,Neuf avec étiquette,Polyester,"Bleu clair, Crème",Robes,7,"18,00 €","19,60 €",garcon
https://www.vinted.fr/items/8826698903-zara-kleid-schulterfrei?referrer=catalog,Très bon état,Lin,Bordeaux,Robes,28,"26,00 €","28,00 €",garcon
https://www.vinted.fr/items/8831810334-zara-cardigan?referrer=catalog,Très bon état,Coton,Multicolore,Sweats et sweats à capuche,,"20,00 €","21,80 €",garcon
https://www.vinted.fr/items/8838076627-linnen-bloes-met-uniek-detail-van-zara?referrer=catalog,Très bon état,Lin,Crème,Hauts et t-shirts,13,"12,00 €","13,12 €",garcon
https://www.vinted.fr/items/8857181371-vestido-de-lino-de-zara-con-cremallera?referrer=catalog,Neuf avec étiquette,Lin,Rouge,Robes,41,"17,00 €","18,55 €",garcon
https://www.vinted.fr/items/8823914909-midikleid-von-zara-mit-schonem-blumenmuster?referrer=catalog,Très bon état,Coton,Multicolore,Robes,12,"25,00 €","27,10 €",garcon
https://www.vinted.fr/items/8841028086-veste-noire-en-lin-zara-s-neuve?referrer=catalog,Neuf avec étiquette,,Noir,Manteaux et vestes,4,"35,00 €","37,45 €",garcon
https://www.vinted.fr/items/8903490544-2-pantalons-fluides?referrer=catalog,Très bon état,Polyester,"Rose, Bleu clair",Pantalons et leggings,14,"6,00 €","7,00 €",garcon
https://www.vinted.fr/items/8883136431-bottes-plates-en-croute-de-cuir-avec-doublure-interieur?referrer=catalog,Neuf avec étiquette,"Cuir, Daim","Beige, Abricot",Chaussures,13,"79,99 €","84,69 €",garcon
https://www.vinted.fr/items/8902253524-zara-mariniere-femme-rouge-taille-s?referrer=catalog,Très bon état,Coton,Rouge,Hauts et t-shirts,33,"3,00 €","3,85 €",garcon
https://www.vinted.fr/items/8882385328-jeans-skinny-zara?referrer=catalog,Très bon état,Coton,Bleu,Jeans,16,"3,00 €","3,56 €",garcon
https://www.vinted.fr/items/8854221680-zara-sommer-loafer-wildleder-hellbraun-ocker-gr-42?referrer=catalog,Neuf avec étiquette,"Cuir, Daim","Moutarde, Marron",Chaussures,54,"30,00 €","32,20 €",garcon
https://www.vinted.fr/items/8905317311-t-shirt-zara?referrer=catalog,Très bon état,Coton,Noir,Hauts et t-shirts,8,"8,00 €","8,78 €",garcon
https://www.vinted.fr/items/8905372048-sabrinas-douradas-entrancadas-zara?referrer=catalog,Neuf sans étiquette,Cuir,Doré,Chaussures,10,"15,00 €","16,38 €",garcon
https://www.vinted.fr/items/8831297153-pantalon-zara-lino-tejidos-naturales-beige-nuevo-con-etiquetas-magnifico?referrer=catalog,Neuf avec étiquette,"Viscose, Lin",Beige,Pantalons et leggings,14,"28,00 €","30,10 €",garcon
https://www.vinted.fr/items/8905369036-robe-verte-zara?referrer=catalog,Très bon état,Coton,Vert foncé,Robes,6,"8,00 €","8,78 €",garcon
https://www.vinted.fr/items/8810700200-mocassins-zara-x-adererror-cuir-noir-edition-limitee-neufs-t39?referrer=catalog,Neuf avec étiquette,Cuir,"Noir, Bleu",Chaussures,31,"175,00 €","184,45 €",garcon
https://www.vinted.fr/items/8855688783-zara-leer-jas-zwart-s?referrer=catalog,Très bon état,Cuir synthétique,Noir,Manteaux et vestes,18,"24,00 €","26,03 €",garcon
https://www.vinted.fr/items/8891349433-zara-brown-leather-jacket?referrer=catalog,Très bon état,,Marron,Manteaux et vestes,27,"30,00 €","32,20 €",garcon
https://www.vinted.fr/items/8905353673-top-noir-zara?referrer=catalog,Très bon état,Polyester,Noir,Hauts et t-shirts,51,"15,00 €","16,38 €",garcon
https://www.vinted.fr/items/8896846452-sandales-beiges-t42-zara-neuves-avec-etiquette?referrer=catalog,Neuf avec étiquette,"Cuir, Daim",Beige,Chaussures,37,"39,00 €","41,65 €",garcon
https://www.vinted.fr/items/8832981129-trench-long-femme-beige-zara-taille-m-tres-bon-etat?referrer=catalog,Très bon état,"Coton, Polyester, Nylon",Beige,Manteaux et vestes,27,"12,00 €","13,12 €",garcon
https://www.vinted.fr/items/8903415699-gilet-dos-nu-zara?referrer=catalog,Neuf sans étiquette,"Coton, Élasthanne",Beige,Hauts et t-shirts,21,"10,00 €","11,20 €",garcon
https://www.vinted.fr/items/8841303595-wildleder-blazer-jacke-von-zara?referrer=catalog,Très bon état,Daim,Marron,Blazers et tailleurs,20,"100,00 €","107,35 €",garcon
https://www.vinted.fr/items/8859466463-robe-imprimee-zara?referrer=catalog,Neuf sans étiquette,Viscose,"Multicolore, Blanc",Robes,34,"24,00 €","25,90 €",garcon
https://www.vinted.fr/items/8899306282-pantalon?referrer=catalog,Très bon état,"Polyester, Viscose",Bleu clair,Pantalons et leggings,11,"7,00 €","7,70 €",garcon
https://www.vinted.fr/items/8903183394-veste-zara-txl?referrer=catalog,Bon état,"Coton, Polyester, Laine",Noir,Blazers et tailleurs,9,"5,00 €","5,70 €",garcon
https://www.vinted.fr/items/8842433136-decollete-nere?referrer=catalog,Très bon état,Cuir,Noir,Chaussures,41,"18,00 €","19,61 €",garcon
https://www.vinted.fr/items/8901194050-chemise-crop-a-lignes?referrer=catalog,Très bon état,Coton,"Bleu, Blanc",Hauts et t-shirts,19,"6,00 €","7,00 €",garcon
https://www.vinted.fr/items/8905086248-debardeur-col-v-femme-blanc-zara?referrer=catalog,Très bon état,Coton,Blanc,Hauts et t-shirts,16,"4,00 €","4,90 €",garcon
https://www.vinted.fr/items/8900438923-zara-zweiteiler-set-m?referrer=catalog,Neuf sans étiquette,,"Blanc, Crème",Combinaisons et combishorts,12,"50,00 €","53,20 €",garcon
https://www.vinted.fr/items/8900747964-pantalon-zara?referrer=catalog,Très bon état,"Polyester, Élasthanne",Beige,Pantalons et leggings,53,"10,00 €","10,95 €",garcon
https://www.vinted.fr/items/8904656256-pull-manche-courte-zara-marrons-taille-s?referrer=catalog,Neuf sans étiquette,Coton,Marron,Sweats et sweats à capuche,41,"15,00 €","16,45 €",garcon
https://www.vinted.fr/items/8903836657-top-bretelle-reglable-zara-satine-fushia-rose-violet-effet?referrer=catalog,Neuf sans étiquette,"Polyester, Soie, Élasthanne","Violet, Fuchsia",Hauts et t-shirts,11,"5,00 €","5,95 €",garcon
https://www.vinted.fr/items/8901677366-body-zara-blanc?referrer=catalog,Très bon état,"Coton, Élasthanne",Blanc,Hauts et t-shirts,12,"5,00 €","5,70 €",garcon
