etat,matiere,couleur,categorie,likes,prix,prix_total,collection,prix_moyen_zara,decote
neuf sans étiquette,fibres naturelles végétales,motif/multicolore,robes,24.0,10.0,11.2,homme,49.36521739130434,0.7974282191298221
très bon état,fibres synthétiques,rouge,blazers et tailleurs,33.0,10.0,11.05,homme,159.0,0.9371069182389937
très bon état,fibres naturelles végétales,bleu,hauts et t-shirts,9.0,5.0,5.95,homme,33.75,0.8518518518518519
très bon état,fibres synthétiques,motif/multicolore,robes,38.0,8.0,9.1,homme,49.36521739130434,0.8379425753038576
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,25.0,4.0,4.9,homme,32.2,0.8757763975155279
bon état,fibres synthétiques,blanc/beige,manteaux et vestes,42.0,10.0,10.95,homme,89.475,0.8882369376920928
très bon état,fibres synthétiques,blanc/beige,hauts et t-shirts,21.0,5.0,5.95,homme,36.09285714285714,0.8614684345933109
neuf sans étiquette,cuir,motif/multicolore,chaussures,46.0,20.0,21.8,homme,65.15,0.6930161166538757
très bon état,autres,jaune/orange,combinaisons et combishorts,11.0,12.0,13.3,homme,49.36521739130434,0.7569138629557864
neuf avec étiquette,fibres synthétiques,vert,hauts et t-shirts,13.0,5.0,5.95,homme,39.95,0.8748435544430538
bon état,autres,noir/gris,manteaux et vestes,44.0,5.0,5.53,homme,89.95,0.9444135630906059
très bon état,fibres naturelles végétales,jaune/orange,pantalons et leggings,2.0,5.2,6.16,fille,8.95,0.4189944134078212
neuf sans étiquette,fibres naturelles végétales,bleu,jeans,5.0,8.0,8.91,fille,19.85909090909091,0.5971618219272145
neuf sans étiquette,fibres synthétiques,noir/gris,hauts et t-shirts,8.0,5.0,5.7,fille,9.95,0.4974874371859296
neuf sans étiquette,fibres synthétiques,motif/multicolore,pantalons et leggings,2.0,3.0,3.85,fille,22.95,0.869281045751634
neuf sans étiquette,fibres artificielles,motif/multicolore,robes,34.0,24.0,26.14,fille,27.95,0.1413237924865831
neuf avec étiquette,fibres artificielles,vert,maillots de bain,14.0,10.0,11.05,fille,17.45,0.42693409742120336
neuf sans étiquette,fibres synthétiques,rose/violet,jupes,2.0,8.0,8.78,fille,22.95,0.6514161220043573
très bon état,fibres naturelles végétales,rose/violet,hauts et t-shirts,5.0,8.0,8.78,fille,22.95,0.6514161220043573
neuf sans étiquette,fibres synthétiques,noir/gris,pantalons et leggings,13.0,15.0,16.38,fille,22.616666666666664,0.3367722918201915
très bon état,autres,jaune/orange,combinaisons et combishorts,21.0,58.0,61.6,fille,29.95,-0.9365609348914858
neuf sans étiquette,autres,motif/multicolore,sweats et sweats à capuche,13.0,10.0,11.05,fille,23.28333333333333,0.5705082319255548
très bon état,fibres naturelles végétales,motif/multicolore,jeans,8.0,8.0,8.78,fille,19.85909090909091,0.5971618219272145
très bon état,fibres synthétiques,bleu,blazers et tailleurs,133.0,49.0,52.15,fille,19.85909090909091,-1.4673838406958115
neuf sans étiquette,fibres naturelles végétales,noir/gris,shorts,20.0,10.0,11.2,fille,17.699999999999996,0.4350282485875705
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,53.0,4.0,4.63,fille,11.283333333333331,0.6454948301329394
très bon état,autres,blanc/beige,blazers et tailleurs,30.0,25.0,27.1,fille,19.85909090909091,-0.25886930647745476
très bon état,autres,motif/multicolore,robes,20.0,25.0,27.23,fille,27.95,0.10554561717352418
très bon état,fibres naturelles végétales,blanc/beige,robes,43.0,7.0,8.05,fille,27.95,0.7495527728085867
très bon état,fibres synthétiques,rose/violet,hauts et t-shirts,4.0,18.0,19.6,fille,22.95,0.21568627450980393
neuf sans étiquette,fibres naturelles végétales,bleu,jeans,53.0,5.0,5.7,fille,19.85909090909091,0.748226138704509
très bon état,cuir,noir/gris,chaussures,198.0,25.0,27.23,fille,39.95,0.3742177722152691
bon état,fibres synthétiques,noir/gris,hauts et t-shirts,5.0,5.0,5.7,fille,9.95,0.4974874371859296
neuf sans étiquette,fibres naturelles végétales,blanc/beige,manteaux et vestes,14.0,10.0,11.2,fille,31.55,0.6830427892234548
neuf avec étiquette,fibres naturelles végétales,motif/multicolore,jeans,92.0,18.0,19.6,fille,19.85909090909091,0.09361409933623255
neuf avec étiquette,cuir,marron,chaussures,118.0,60.0,64.55,fille,39.95,-0.5018773466833542
neuf avec étiquette,autres,marron,manteaux et vestes,65.0,45.0,48.5,fille,31.55,-0.4263074484944531
très bon état,fibres naturelles végétales,noir/gris,sweats et sweats à capuche,3.0,6.0,6.77,fille,25.95,0.7687861271676301
très bon état,fibres naturelles animales,noir/gris,blazers et tailleurs,7.0,14.0,15.4,fille,19.85909090909091,0.2950331883726254
très bon état,fibres synthétiques,motif/multicolore,jupes,3.0,6.0,7.0,fille,22.95,0.738562091503268
neuf sans étiquette,autres,blanc/beige,costumes et tenues particulières,22.0,15.0,16.38,fille,18.616666666666664,0.19427036705461043
très bon état,fibres naturelles végétales,bleu,jupes,37.0,9.0,9.87,fille,22.95,0.607843137254902
très bon état,fibres synthétiques,noir/gris,pantalons et leggings,17.0,10.0,10.95,fille,22.616666666666664,0.5578481945467944
neuf avec étiquette,fibres synthétiques,noir/gris,hauts et t-shirts,116.0,16.0,17.47,fille,9.95,-0.6080402010050252
neuf sans étiquette,fibres naturelles végétales,motif/multicolore,jeans,9.0,18.0,19.6,fille,19.85909090909091,0.09361409933623255
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,13.0,12.0,13.3,fille,11.283333333333331,-0.06351550960118191
très bon état,fibres naturelles végétales,bleu,hauts et t-shirts,11.0,15.0,16.45,fille,22.95,0.3464052287581699
neuf sans étiquette,fibres synthétiques,vert,pantalons et leggings,13.0,25.0,26.95,fille,25.95,0.036608863198458574
très bon état,fibres naturelles végétales,bleu,jupes-shorts,104.0,18.0,19.6,fille,19.85909090909091,0.09361409933623255
neuf avec étiquette,fibres synthétiques,blanc/beige,lingerie et pyjamas,30.0,15.0,16.38,fille,19.85909090909091,0.24467841611352714
bon état,autres,vert,manteaux et vestes,5.0,6.0,7.0,fille,29.95,0.7996661101836394
très bon état,fibres naturelles végétales,noir/gris,jupes,36.0,7.0,7.84,fille,22.95,0.6949891067538126
très bon état,autres,motif/multicolore,hauts et t-shirts,36.0,10.0,11.2,fille,19.2,0.47916666666666663
très bon état,autres,bleu,jeans,17.0,8.0,9.1,fille,19.85909090909091,0.5971618219272145
