etat,matiere,couleur,categorie,likes,prix,prix_total,collection,type_matiere_principal,couleur_generique
neuf avec étiquette,"viscose, élasthanne",kaki,maillots de bain,7.0,10.0,11.2,homme,autres,vert
bon état,"coton, polyester",beige,hauts et t-shirts,13.0,3.0,3.85,homme,autres,blanc/beige
très bon état,coton,rose,hauts et t-shirts,3.0,8.0,8.78,homme,fibre naturelle végétale,rose/violet
très bon état,coton,bleu,jeans,28.0,8.0,8.78,homme,fibre naturelle végétale,bleu
neuf sans étiquette,"polyester, élasthanne",noir,pantalons et leggings,12.0,15.0,16.45,homme,autres,noir/gris
très bon état,"coton, polyester",blanc,vêtements de sport,26.0,11.0,12.04,homme,autres,blanc/beige
neuf sans étiquette,"coton, polyester",beige,pantalons et leggings,34.0,10.0,10.95,homme,autres,blanc/beige
neuf sans étiquette,Non précisée,"gris, argenté",sweats et sweats à capuche,13.0,10.0,11.2,homme,autres,noir/gris
très bon état,"polyester, élasthanne",beige,pantalons et leggings,50.0,10.0,11.05,homme,autres,blanc/beige
très bon état,coton,beige,jupes,30.0,8.0,8.91,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,"coton, lin",crème,manteaux et vestes,14.0,10.0,10.95,homme,autres,blanc/beige
neuf sans étiquette,Non précisée,beige,costumes et tenues particulières,22.0,15.0,16.4,homme,autres,blanc/beige
très bon état,"polyester, élasthanne",rose,hauts et t-shirts,8.0,3.0,3.56,homme,autres,rose/violet
très bon état,"polyester, viscose",bleu clair,pantalons et leggings,27.0,6.0,7.0,homme,autres,bleu
neuf avec étiquette,"coton, polyester, élasthanne",blanc,shorts,23.0,6.5,7.53,homme,autres,blanc/beige
neuf sans étiquette,Non précisée,bleu clair,blazers et tailleurs,111.0,40.0,43.15,homme,autres,bleu
neuf avec étiquette,polyester,marron,accessoires,24.0,5.0,5.7,homme,fibre synthétique,marron
très bon état,"polyester, viscose, élasthanne",menthe,pantalons et leggings,7.0,7.0,7.7,homme,autres,vert
très bon état,coton,"bleu, blanc",hauts et t-shirts,18.0,6.0,7.0,homme,fibre naturelle végétale,bleu
très bon état,"polyester, viscose, élasthanne",noir,blazers et tailleurs,84.0,15.0,16.45,homme,autres,noir/gris
très bon état,"polyester, viscose, élasthanne","beige, crème",pantalons et leggings,8.0,15.0,16.45,homme,autres,blanc/beige
très bon état,polyester,noir,hauts et t-shirts,26.0,15.0,16.4,homme,fibre synthétique,noir/gris
très bon état,coton,blanc,hauts et t-shirts,14.0,4.0,4.9,homme,fibre naturelle végétale,blanc/beige
très bon état,"coton, élasthanne",blanc,hauts et t-shirts,12.0,5.0,5.95,homme,autres,blanc/beige
très bon état,"polyester, viscose, élasthanne",noir,jupes,38.0,5.0,5.53,homme,autres,noir/gris
très bon état,polyester,"fuchsia, rose",sweats et sweats à capuche,8.0,9.0,10.15,homme,fibre synthétique,rose/violet
neuf sans étiquette,coton,marron,manteaux et vestes,10.0,10.0,11.2,homme,fibre naturelle végétale,marron
très bon état,coton,noir,hauts et t-shirts,7.0,8.0,9.1,homme,fibre naturelle végétale,noir/gris
très bon état,"polyester, viscose, nylon",bleu,sweats et sweats à capuche,6.0,3.0,3.85,homme,autres,bleu
très bon état,coton,"bleu, bleu clair",sweats et sweats à capuche,37.0,4.0,4.44,homme,fibre naturelle végétale,bleu
très bon état,coton,bleu,robes,27.0,15.0,16.45,homme,fibre naturelle végétale,bleu
très bon état,coton,blanc,hauts et t-shirts,42.0,6.0,6.61,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,Non précisée,marron,chaussures,49.0,15.0,16.45,homme,autres,marron
très bon état,élasthanne,noir,hauts et t-shirts,8.0,5.0,5.7,homme,autres,noir/gris
neuf sans étiquette,"coton, élasthanne",beige,hauts et t-shirts,20.0,10.0,10.95,homme,autres,blanc/beige
très bon état,"coton, polyester",gris,pantalons et leggings,33.0,5.0,5.7,homme,autres,noir/gris
très bon état,coton,"noir, blanc",pantalons et leggings,222.0,10.0,11.2,homme,fibre naturelle végétale,noir/gris
neuf sans étiquette,coton,bleu clair,combinaisons et combishorts,13.0,10.0,11.2,homme,fibre naturelle végétale,bleu
très bon état,coton,bleu,jeans,16.0,3.0,3.85,homme,fibre naturelle végétale,bleu
très bon état,"coton, viscose, élasthanne",gris,hauts et t-shirts,123.0,7.0,7.84,homme,autres,noir/gris
très bon état,polyester,noir,blazers et tailleurs,8.0,10.0,11.2,homme,fibre synthétique,noir/gris
très bon état,coton,noir,autres,54.0,12.0,13.3,homme,fibre naturelle végétale,noir/gris
très bon état,polyester,"rose, bleu clair",pantalons et leggings,14.0,6.0,6.61,homme,fibre synthétique,rose/violet
très bon état,Non précisée,"vert foncé, vert",pantalons et leggings,62.0,14.0,15.4,homme,autres,vert
très bon état,polyester,vert foncé,hauts et t-shirts,39.0,5.0,5.95,homme,fibre synthétique,vert
neuf sans étiquette,viscose,gris,hauts et t-shirts,20.0,3.0,3.85,homme,fibre artificielle,noir/gris
bon état,"coton, polyester, laine",noir,blazers et tailleurs,9.0,5.0,5.95,homme,autres,noir/gris
très bon état,coton,blanc,hauts et t-shirts,5.0,5.0,5.53,homme,fibre naturelle végétale,blanc/beige
neuf sans étiquette,"polyester, soie, élasthanne","violet, fuchsia",hauts et t-shirts,10.0,5.0,5.95,homme,autres,rose/violet
très bon état,polyester,noir,hauts et t-shirts,38.0,5.0,5.95,homme,fibre synthétique,noir/gris
neuf sans étiquette,polyester,crème,jupes,7.0,5.0,5.7,homme,fibre synthétique,blanc/beige
très bon état,"viscose, élasthanne, acrylique",kaki,hauts et t-shirts,37.0,4.0,4.63,homme,autres,vert
bon état,coton,bleu clair,jeans,9.0,6.0,7.0,homme,fibre naturelle végétale,bleu
très bon état,Non précisée,vert,hauts et t-shirts,19.0,5.0,5.95,homme,autres,vert
neuf sans étiquette,"viscose, lin, carton",bleu clair,blazers et tailleurs,12.0,15.0,16.38,homme,autres,bleu
très bon état,coton,beige,manteaux et vestes,29.0,10.0,11.2,homme,fibre naturelle végétale,blanc/beige
très bon état,Non précisée,noir,manteaux et vestes,24.0,10.0,11.2,homme,autres,noir/gris
